Time [s],delta GENCLS 1,delta GENCLS 2,omega GENCLS 1,omega GENCLS 2,a Bus 1,a Bus 2,a Bus 3,v Bus 1,v Bus 2,v Bus 3,q PV 1,q Slack 1,p Slack 1,Id GENCLS 1,Id GENCLS 2,Iq GENCLS 1,Iq GENCLS 2,vd GENCLS 1,vd GENCLS 2,vq GENCLS 1,vq GENCLS 2,tm GENCLS 1,tm GENCLS 2,te GENCLS 1,te GENCLS 2,vf GENCLS 1,vf GENCLS 2,XadIfd GENCLS 1,XadIfd GENCLS 2,Pe GENCLS 1,Pe GENCLS 2,Qe GENCLS 1,Qe GENCLS 2,psid GENCLS 1,psid GENCLS 2,psiq GENCLS 1,psiq GENCLS 2
4.296766666666662182e+00,1.475184482065252378e-01,2.603094563753799799e-07,9.925027168253891530e-01,1.000000000934451183e+00,9.132993857059955312e-02,2.605929018389600031e-07,5.385826002856719530e-02,1.077703496071767075e+00,1.000000000246533460e+00,1.043348258127491102e+00,2.881823530731045246e-01,-4.674700090166349596e-03,-8.999999878496722783e-01,2.481821272766213116e-01,-2.091770466333885969e-01,2.470318754018993312e-01,-2.808276464558558949e-01,6.052280699164405697e-02,-2.834454937543051122e-10,1.076002717723898439e+00,1.000000000246533460e+00,9.000000081002184071e-01,-8.999999878496715011e-01,2.808276495110048621e-01,-2.808276464455262134e-01,1.136807341376989466e+00,9.999999999953255170e-01,1.136807341376989466e+00,9.999999999953255170e-01,2.808276482848274247e-01,-2.808276464455262689e-01,2.520939168786562323e-01,-2.091770467563159042e-01,1.076002720194217277e+00,1.000000000246533016e+00,-6.052280947346533324e-02,2.834457148950449740e-10
4.330099999999995397e+00,7.844044774105717044e-02,2.696163254847367971e-07,9.965031809919030481e-01,1.000000000546783063e+00,4.855181481434368146e-02,2.697695158941513789e-07,2.865136618988011266e-02,1.079691068080795846e+00,1.000000000246533460e+00,1.045239630888171289e+00,2.881823530731045246e-01,-4.674700090166349596e-03,-8.999999878496722783e-01,2.350956711255948739e-01,-2.240531416530002762e-01,1.316997524477042381e-01,-1.497172436349235858e-01,3.226643699873082971e-02,-1.531903951808371059e-10,1.079208900634221369e+00,1.000000000246533460e+00,9.000000081002184071e-01,-8.999999878496715011e-01,1.497172454400823582e-01,-1.497172436246962113e-01,1.136807341376989466e+00,9.999999999953255170e-01,1.136807341376989466e+00,9.999999999953255170e-01,1.497172447139983875e-01,-1.497172436246962390e-01,2.494694277851490227e-01,-2.240531417249696788e-01,1.079208901951218769e+00,1.000000000246533016e+00,-3.226643934968754374e-02,1.531906384139575063e-10
4.363433333333328612e+00,6.242315752319397421e-02,2.737935526892292658e-07,1.000947591879182363e+00,1.000000000118043353e+00,3.863635303407278454e-02,2.739136672378107037e-07,2.280222718457087377e-02,1.079978448518393419e+00,1.000000000246533460e+00,1.045513176512294473e+00,2.881823530731045246e-01,-4.674700090166349596e-03,-8.999999878496722783e-01,2.332015935004926876e-01,-2.262068912836505685e-01,1.048453278192929411e-01,-1.191889367516177217e-01,2.568710298371083486e-02,-1.531903951808371059e-10,1.079672949920915448e+00,1.000000000246533460e+00,9.000000081002184071e-01,-8.999999878496715011e-01,1.191889383740493136e-01,-1.191889367396527233e-01,1.136807341376989466e+00,9.999999999953255170e-01,1.136807341376989466e+00,9.999999999953255170e-01,1.191889377203112360e-01,-1.191889367396527233e-01,2.490887006281853611e-01,-2.262068913367934753e-01,1.079672950969368772e+00,1.000000000246533016e+00,-2.568710531572676939e-02,1.531906384139575063e-10
4.396766666666661827e+00,1.013048401366495738e-01,2.726829531478598668e-07,1.005240618277086551e+00,9.999999997051992606e-01,6.270775929331852405e-02,2.728739906650272214e-07,3.699794611544276329e-02,1.079167559410541877e+00,1.000000000246533460e+00,1.044741549083570309e+00,2.881823530731045246e-01,-4.674700090166349596e-03,-8.999999878496722783e-01,2.385450495861032583e-01,-2.201330360103914974e-01,1.699674923285756367e-01,-1.932202909377607469e-01,4.164203323505052956e-02,-1.531903951808371059e-10,1.078363802528719217e+00,1.000000000246533460e+00,9.000000081002184071e-01,-8.999999878496715011e-01,1.932202930745618996e-01,-1.932202909297534021e-01,1.136807341376989466e+00,9.999999999953255170e-01,1.136807341376989466e+00,9.999999999953255170e-01,1.932202922166163239e-01,-1.932202909297534299e-01,2.501600970815389124e-01,-2.201330361088391085e-01,1.078363804228394063e+00,1.000000000246533016e+00,-4.164203562050103336e-02,1.531906384139575063e-10
4.430099999999995042e+00,1.896045512866056104e-01,2.668284961791145513e-07,1.008812722726173172e+00,9.999999993630349637e-01,1.174110366654274457e-01,2.671848470398932343e-07,6.919542308126024055e-02,1.075898151128477309e+00,1.000000000246533460e+00,1.041630302790785834e+00,2.881823530731045246e-01,-4.674700090166349596e-03,-8.999999878496722783e-01,2.600477968515594318e-01,-1.956882471042451221e-01,3.167566258683671698e-01,-3.600912535268993020e-01,7.760537073727198643e-02,-3.563508480569437217e-10,1.073095627980791278e+00,1.000000000246533460e+00,9.000000081002184071e-01,-8.999999878496715011e-01,3.600912577169642637e-01,-3.600912535179744411e-01,1.136807341376989466e+00,9.999999999953255170e-01,1.136807341376989466e+00,9.999999999953255170e-01,3.600912560373656368e-01,-3.600912535179746077e-01,2.544740790856148127e-01,-1.956882472734677303e-01,1.073095631148357487e+00,1.000000000246533016e+00,-7.760537333774995827e-02,3.563510246634204475e-10
4.463433333333328257e+00,3.154104890220129631e-01,2.573972759807583568e-07,1.011209916951431698e+00,9.999999991359397322e-01,1.955049468951623182e-01,2.579896202139403465e-07,1.148965638513297638e-01,1.067829398000174734e+00,1.000000000129044775e+00,1.033952588846353882e+00,2.881823530731045246e-01,-4.674700090166349596e-03,-8.999999878496722783e-01,3.128366950851809158e-01,-1.356771435256050318e-01,5.213553075968656580e-01,-5.926805319029990748e-01,1.277320472328651313e-01,-5.923442382001897254e-10,1.060162345867567302e+00,1.000000000129044775e+00,9.000000081002184071e-01,-8.999999878496715011e-01,5.926805411419754366e-01,-5.926805319000263417e-01,1.136807341376989466e+00,9.999999999953255170e-01,1.136807341376989466e+00,9.999999999953255170e-01,5.926805374452404074e-01,-5.926805319000266747e-01,2.650650428761410216e-01,-1.356771438946725028e-01,1.060162351081120224e+00,1.000000000129044109e+00,-1.277320503612320857e-01,5.923443719186108660e-10
4.496766666666661472e+00,4.623204009729602326e-01,2.460023496252665432e-07,1.012171431835083180e+00,9.999999991359397322e-01,2.870741895729768123e-01,2.468658510283348640e-07,1.678467550180322843e-01,1.053381955789698399e+00,1.000000000024549474e+00,1.020207967490209811e+00,2.881823530731045246e-01,-4.674700090166349596e-03,-8.999999878496722783e-01,4.063648112134805590e-01,-2.935415921878450213e-02,7.496233088341486273e-01,-8.521772625757914055e-01,1.836577066007182846e-01,-8.635013620810745713e-10,1.037247955133453470e+00,1.000000000024549474e+00,9.000000081002184071e-01,-8.999999878496715011e-01,8.521772807499703450e-01,-8.521772625733029516e-01,1.136807341376989466e+00,9.999999999953255170e-01,1.136807341376989466e+00,9.999999999953255170e-01,8.521772734793248150e-01,-8.521772625733037287e-01,2.838276862852937010e-01,-2.935415994980297705e-02,1.037247962629686659e+00,1.000000000024548585e+00,-1.836577106643663970e-01,8.635014254974583610e-10
4.530099999999994687e+00,6.121061775748660727e-01,2.355164116233650944e-07,1.011667696241954850e+00,9.999999991359397322e-01,3.810543997888682366e-01,2.366440970759478518e-07,2.211447973255037669e-01,1.033172120076157663e+00,9.999999998777978627e-01,1.000986589045251396e+00,2.881823530731045246e-01,-4.674700090166349596e-03,-8.999999878496722783e-01,5.350659128260233377e-01,1.169487929751913402e-01,9.657002201577122857e-01,-1.097815069370251306e+00,2.365965485879803765e-01,-1.127685474248858447e-09,1.005716183077611348e+00,9.999999998777978627e-01,9.000000081002184071e-01,-8.999999878496715011e-01,1.097815099844662301e+00,-1.097815069373236252e+00,1.136807341376989466e+00,9.999999999953255170e-01,1.136807341376989466e+00,9.999999999953255170e-01,1.097815087656363708e+00,-1.097815069373237362e+00,3.096535465358930539e-01,1.169487917375618136e-01,1.005716192734613657e+00,9.999999998777967525e-01,-2.365965539386394867e-01,1.127685430091291346e-09
4.563433333333327901e+00,7.474735306647397604e-01,2.258358586844721831e-07,1.009876491241519458e+00,9.999999993233523732e-01,4.667286159724756689e-01,2.270539644160220498e-07,2.684932225062069411e-01,1.010254224305867421e+00,9.999999997149257025e-01,9.791987675799709301e-01,2.881823530731045246e-01,-4.674700090166349596e-03,-8.999999878496722783e-01,6.779806337855520670e-01,2.794209943306237842e-01,1.142500554895464093e+00,-1.298802974214383399e+00,2.799126291695823721e-01,-1.346124343556274238e-09,9.707020746745236295e-01,9.999999997149257025e-01,9.000000081002184071e-01,-8.999999878496715011e-01,1.298803018332447712e+00,-1.298802974208314698e+00,1.136807341376989466e+00,9.999999999953255170e-01,1.136807341376989466e+00,9.999999999953255170e-01,1.298803000682795084e+00,-1.298802974208316474e+00,3.383168737799485681e-01,2.794209925643519332e-01,9.707020860995291267e-01,9.999999997149243702e-01,-2.799126359493886995e-01,1.346124160343334365e-09
4.596766666666661116e+00,8.541705191900117455e-01,2.190233871566807296e-07,1.007104839239054028e+00,9.999999995924091500e-01,5.348915362846221599e-01,2.204715119017083848e-07,3.051093543121398688e-01,9.891659986051540843e-01,9.999999995775055162e-01,9.591585600068585071e-01,2.881823530731045246e-01,-4.674700090166349596e-03,-8.999999878496722783e-01,8.066606631500861102e-01,4.257050407864721442e-01,1.267271007831646923e+00,-1.440642928804864109e+00,3.104813888521468224e-01,-1.448124736771426575e-09,9.391754662325083602e-01,9.999999995775055162e-01,9.000000081002184071e-01,-8.999999878496715011e-01,1.440642985217232441e+00,-1.440642928800342615e+00,1.136807341376989466e+00,9.999999999953255170e-01,1.136807341376989466e+00,9.999999999953255170e-01,1.440642962650425130e+00,-1.440642928800344835e+00,3.641309828325559050e-01,4.257050385278966509e-01,9.391754789052184638e-01,9.999999995775040729e-01,-3.104813969187534828e-01,1.448124318950001096e-09
4.630099999999994331e+00,9.220770525884413038e-01,2.159711177884260722e-07,1.003702838436708600e+00,9.999999999218071034e-01,5.786222712495179277e-01,2.175065863219832137e-07,3.280268661164759680e-01,9.743919922524160171e-01,9.999999994689040550e-01,9.451241564566772446e-01,2.881823530731045246e-01,-4.674700090166349596e-03,-8.999999878496722783e-01,8.951964493828115099e-01,5.263508658605691171e-01,1.339258269715040583e+00,-1.522478568163023738e+00,3.281182671282204533e-01,-1.448124736771426575e-09,9.174841978856180802e-01,9.999999994689040550e-01,9.000000081002184071e-01,-8.999999878496715011e-01,1.522478633011902671e+00,-1.522478568137521471e+00,1.136807341376989466e+00,9.999999999953255170e-01,1.136807341376989466e+00,9.999999999953255170e-01,1.522478607061753086e+00,-1.522478568137524135e+00,3.818872311273415754e-01,5.263508632797289089e-01,9.174842112782007897e-01,9.999999994689025007e-01,-3.281182760801849563e-01,1.448124318950001096e-09
4.663433333333327546e+00,9.453887241105802808e-01,2.172112807464678044e-07,1.000007410983376754e+00,1.000000000275570899e+00,5.937052098968205183e-01,2.187662719026364701e-07,3.358166410736585505e-01,9.690822106472940511e-01,9.999999994689040550e-01,9.400810260487254544e-01,2.881823530731045246e-01,-4.674700090166349596e-03,-8.999999878496722783e-01,9.266892469881375938e-01,5.621530211560437085e-01,1.362562889113372755e+00,-1.548971427545514201e+00,3.338278985658838516e-01,-1.554991152771234528e-09,9.097684622392668841e-01,9.999999994689040550e-01,9.000000081002184071e-01,-8.999999878496715011e-01,1.548971495431923362e+00,-1.548971427548912372e+00,1.136807341376989466e+00,9.999999999953255170e-01,1.136807341376989466e+00,9.999999999953255170e-01,1.548971468278445673e+00,-1.548971427548914814e+00,3.882069461738418270e-01,5.621530184466791980e-01,9.097684758648957315e-01,9.999999994689025007e-01,-3.338279078327763272e-01,1.554990596284995186e-09
4.696766666666660761e+00,9.223903086863037837e-01,2.228522530878573349e-07,9.963323297951878210e-01,1.000000000622217833e+00,5.788259062343011907e-01,2.243691484397592268e-07,3.281314387251558218e-01,9.743212680038432216e-01,9.999999994689040550e-01,9.450564518532863501e-01,2.881823530731045246e-01,-4.674700090166349596e-03,-8.999999878496722783e-01,8.956132464869084320e-01,5.268285804557039098e-01,1.339574702885624857e+00,-1.522838291647578446e+00,3.281957932508455800e-01,-1.554991152771234528e-09,9.173820825919497546e-01,9.999999994689040550e-01,9.000000081002184071e-01,-8.999999878496715011e-01,1.522838356563277484e+00,-1.522838291648509257e+00,1.136807341376989466e+00,9.999999999953255170e-01,1.136807341376989466e+00,9.999999999953255170e-01,1.522838330597563461e+00,-1.522838291648511921e+00,3.819797182750807596e-01,5.268285778495583882e-01,9.173820959876968217e-01,9.999999994689025007e-01,-3.281958022069780823e-01,1.554990596284995186e-09
4.730099999999993976e+00,8.552855171593870542e-01,2.326275122254562818e-07,9.929875670248895503e-01,1.000000000933563005e+00,5.356075616795124006e-01,2.340566476968395592e-07,3.054881422710507555e-01,9.889317878364907166e-01,9.999999994689040550e-01,9.589358981322575470e-01,2.881823530731045246e-01,-4.674700090166349596e-03,-8.999999878496722783e-01,8.080735877692317715e-01,4.273122720950231490e-01,1.268500685023199459e+00,-1.442040834746943334e+00,3.107826597499479537e-01,-1.429135460013918275e-09,9.388292996885209130e-01,9.999999994689040550e-01,9.000000081002184071e-01,-8.999999878496715011e-01,1.442040891276113346e+00,-1.442040834724098941e+00,1.136807341376989466e+00,9.999999999953255170e-01,1.136807341376989466e+00,9.999999999953255170e-01,1.442040868655410701e+00,-1.442040834724101162e+00,3.644167663619808373e-01,4.273122698181366363e-01,9.388293123735277357e-01,9.999999994689025007e-01,-3.107826678306838675e-01,1.429135020036072968e-09
4.763433333333327191e+00,7.502671496754556024e-01,2.459207128175900917e-07,9.902982002958702346e-01,1.000000001182115517e+00,4.685055851066384780e-01,2.472157890688159582e-07,2.694605085950987355e-01,1.009735709494532951e+00,9.999999997042311461e-01,9.787059209656793213e-01,2.881823530731045246e-01,-4.674700090166349596e-03,-8.999999878496722783e-01,6.811771255015917070e-01,2.830547892569600377e-01,1.145939509425884184e+00,-1.302712402665945346e+00,2.807551729975703569e-01,-1.295076245533558959e-09,9.699189341697044275e-01,9.999999997042311461e-01,9.000000081002184071e-01,-8.999999878496715011e-01,1.302712447089291237e+00,-1.302712402659795599e+00,1.136807341376989466e+00,9.999999999953255170e-01,1.136807341376989466e+00,9.999999999953255170e-01,1.302712429317494536e+00,-1.302712402659797375e+00,3.389581469290925408e-01,2.830547874784565265e-01,9.699189456290995270e-01,9.999999997042299249e-01,-2.807551798093416151e-01,1.295075954437945778e-09
4.796766666666660406e+00,6.176436819747239682e-01,2.617684685884095376e-07,9.885940721668278197e-01,1.000000001340133116e+00,3.845447241453673337e-01,2.628850810392987724e-07,2.230993362075530673e-01,1.032318368501896622e+00,9.999999998847611815e-01,1.000174981277266673e+00,2.881823530731045246e-01,-4.674700090166349596e-03,-8.999999878496722783e-01,5.404394064191746505e-01,1.230641150430130393e-01,9.733033954453024217e-01,-1.106458414353590713e+00,2.384593264797050527e-01,-1.116612435805346482e-09,1.004399677071257768e+00,9.999999998847611815e-01,9.000000081002184071e-01,-8.999999878496715011e-01,1.106458445329370877e+00,-1.106458414344427377e+00,1.136807341376989466e+00,9.999999999953255170e-01,1.136807341376989466e+00,9.999999999953255170e-01,1.106458432935527147e+00,-1.106458414344428709e+00,3.107263118415968806e-01,1.230641138030469234e-01,1.004399686804291703e+00,9.999999998847600713e-01,-2.384593318840990961e-01,1.116612325239861957e-09
4.830099999999993621e+00,4.715598628488064659e-01,2.788759965507112297e-07,9.881560043626103074e-01,1.000000001340133116e+00,2.928501220985021414e-01,2.796737254000434190e-07,1.711570777801146581e-01,1.052294779161849769e+00,1.000000000062772010e+00,1.019174081819439248e+00,2.881823530731045246e-01,-4.674700090166349596e-03,-8.999999878496722783e-01,4.133561230259352737e-01,-2.141129930869683715e-02,7.634918674343467160e-01,-8.679431411706169941e-01,1.870555033878537055e-01,-9.009162097331179288e-10,1.035535083600716666e+00,1.000000000062772232e+00,9.000000081002184071e-01,-8.999999878496715011e-01,8.679431599809925846e-01,-8.679431411368024873e-01,1.136807341376989466e+00,9.999999999953255170e-01,1.136807341376989466e+00,9.999999999953255170e-01,8.679431524430357703e-01,-8.679431411368030425e-01,2.852263301081623403e-01,-2.141130006201581726e-02,1.035535091235635363e+00,1.000000000062771122e+00,-1.870555075214149210e-01,9.009162771788368283e-10
4.863433333333326836e+00,3.288725815681812770e-01,2.950559754521115189e-07,9.891346079996636842e-01,1.000000001234990554e+00,2.038765007413239350e-01,2.956610217485107200e-07,1.197702707462302008e-01,1.066729732061077573e+00,1.000000000203224326e+00,1.032906350458760114e+00,2.881823530731045246e-01,-4.674700090166349596e-03,-8.999999878496722783e-01,3.200002571095538761e-01,-1.275337832061259613e-01,5.428167347994068415e-01,-6.170780392188813801e-01,1.329900968258521110e-01,-6.667323323555392457e-10,1.058407272956981338e+00,1.000000000203224326e+00,9.000000081002184071e-01,-8.999999878496715011e-01,6.170780491422521719e-01,-6.170780392159972427e-01,1.136807341376989466e+00,9.999999999953255170e-01,1.136807341376989466e+00,9.999999999953255170e-01,6.170780451717503556e-01,-6.170780392159977978e-01,2.665013494292678420e-01,-1.275337836025758065e-01,1.058407278385148587e+00,1.000000000203223660e+00,-1.329901000258546795e-01,6.667325402537274945e-10
